experimento,algoritmo,implementacion,familia,n,d,k,semilla,repeticion,ms,costo,nodos,poda_fact,poda_opt
e7_cpp_vs_python,bt,py,aleatoria,10,12,5,1,8,0.258041,1.265981129,,,
e7_cpp_vs_python,bt,py,aleatoria,10,12,5,1,9,0.253333,1.265981129,,,
e7_cpp_vs_python,bt,py,aleatoria,10,12,5,1,10,0.252667,1.265981129,,,
e7_cpp_vs_python,bt,py,aleatoria,10,12,5,2,1,0.377625,1.341254469,,,
e7_cpp_vs_python,bt,py,aleatoria,10,12,5,2,2,0.373417,1.341254469,,,
e7_cpp_vs_python,bt,py,aleatoria,10,12,5,2,3,0.374416,1.341254469,,,
e7_cpp_vs_python,bt,py,aleatoria,10,12,5,2,4,0.372166,1.341254469,,,
e7_cpp_vs_python,bt,py,aleatoria,10,12,5,2,5,0.404291,1.341254469,,,
e7_cpp_vs_python,bt,py,aleatoria,10,12,5,2,6,0.38,1.341254469,,,
e7_cpp_vs_python,bt,py,aleatoria,10,12,5,2,7,0.379042,1.341254469,,,
e7_cpp_vs_python,bt,py,aleatoria,10,12,5,2,8,0.386958,1.341254469,,,
e7_cpp_vs_python,bt,py,aleatoria,10,12,5,2,9,0.385125,1.341254469,,,
e7_cpp_vs_python,bt,py,aleatoria,10,12,5,2,10,0.376584,1.341254469,,,
e7_cpp_vs_python,pd,cpp,aleatoria,10,12,5,0,1,0.002208,0.9018301836,,,
e7_cpp_vs_python,pd,cpp,aleatoria,10,12,5,0,2,0.002166,0.9018301836,,,
e7_cpp_vs_python,pd,cpp,aleatoria,10,12,5,0,3,0.002208,0.9018301836,,,
e7_cpp_vs_python,pd,cpp,aleatoria,10,12,5,0,4,0.002083,0.9018301836,,,
e7_cpp_vs_python,pd,cpp,aleatoria,10,12,5,0,5,0.002167,0.9018301836,,,
e7_cpp_vs_python,pd,cpp,aleatoria,10,12,5,0,6,0.002167,0.9018301836,,,
