experimento,algoritmo,implementacion,familia,n,d,k,semilla,repeticion,ms,costo,nodos,poda_fact,poda_opt
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,12,12,6,2,6,0.093917,1.154818574,659,120,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,12,12,6,2,7,0.090542,1.154818574,659,120,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,12,12,6,2,8,0.088,1.154818574,659,120,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,12,12,6,2,9,0.094209,1.154818574,659,120,0
e6_ablacion_podas,bt,cpp_sin_opt,aleatoria,12,12,6,2,10,0.082667,1.154818574,659,120,0
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,12,12,6,0,1,0.021,0.9178608337,135,0,27
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,12,12,6,0,2,0.021791,0.9178608337,135,0,27
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,12,12,6,0,3,0.020833,0.9178608337,135,0,27
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,12,12,6,0,4,0.021917,0.9178608337,135,0,27
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,12,12,6,0,5,0.020584,0.9178608337,135,0,27
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,12,12,6,0,6,0.021459,0.9178608337,135,0,27
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,12,12,6,0,7,0.02225,0.9178608337,135,0,27
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,12,12,6,0,8,0.020792,0.9178608337,135,0,27
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,12,12,6,0,9,0.02375,0.9178608337,135,0,27
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,12,12,6,0,10,0.021958,0.9178608337,135,0,27
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,12,12,6,1,1,0.012834,0.9831014648,69,0,24
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,12,12,6,1,2,0.010083,0.9831014648,69,0,24
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,12,12,6,1,3,0.01,0.9831014648,69,0,24
e6_ablacion_podas,bt,cpp_sin_fact,aleatoria,12,12,6,1,4,0.009625,0.9831014648,69,0,24
